"provinsi","gk.makanan.perkotaan.2015.maret","gk.makanan.perkotaan.2015.september","gk.makanan.perkotaan.2016.maret","gk.makanan.perkotaan.2016.september","gk.makanan.perdesaan.2015.maret","gk.makanan.perdesaan.2015.september","gk.makanan.perdesaan.2016.maret","gk.makanan.perdesaan.2016.september","gk.makanan.perdesaanperkotaan.2015.maret","gk.makanan.perdesaanperkotaan.2015.september","gk.makanan.perdesaanperkotaan.2016.maret","gk.makanan.perdesaanperkotaan.2016.september","gk.makanan.perkotaan.2017.maret","gk.makanan.perkotaan.2017.september","gk.makanan.perkotaan.2018.maret","gk.makanan.perkotaan.2018.september","gk.makanan.perdesaan.2017.maret","gk.makanan.perdesaan.2017.september","gk.makanan.perdesaan.2018.maret","gk.makanan.perdesaan.2018.september","gk.makanan.perdesaanperkotaan.2017.maret","gk.makanan.perdesaanperkotaan.2017.september","gk.makanan.perdesaanperkotaan.2018.maret","gk.makanan.perdesaanperkotaan.2018.september","gk.makanan.perkotaan.2019.maret","gk.makanan.perkotaan.2019.september","gk.makanan.perkotaan.2020.maret","gk.makanan.perkotaan.2020.september","gk.makanan.perdesaan.2019.maret","gk.makanan.perdesaan.2019.september","gk.makanan.perdesaan.2020.maret","gk.makanan.perdesaan.2020.september","gk.makanan.perdesaanperkotaan.2019.maret","gk.makanan.perdesaanperkotaan.2019.september","gk.makanan.perdesaanperkotaan.2020.maret","gk.makanan.perdesaanperkotaan.2020.september","gk.makanan.perkotaan.2021.maret","gk.makanan.perkotaan.2021.september","gk.makanan.perkotaan.2022.maret","gk.makanan.perkotaan.2022.september","gk.makanan.perdesaan.2021.maret","gk.makanan.perdesaan.2021.september","gk.makanan.perdesaan.2022.maret","gk.makanan.perdesaan.2022.september","gk.makanan.perdesaanperkotaan.2021.maret","gk.makanan.perdesaanperkotaan.2021.september","gk.makanan.perdesaanperkotaan.2022.maret","gk.makanan.perdesaanperkotaan.2022.september","gk.nonmakanan.perkotaan.2015.maret","gk.nonmakanan.perkotaan.2015.september","gk.nonmakanan.perkotaan.2016.maret","gk.nonmakanan.perkotaan.2016.september","gk.nonmakanan.perdesaan.2015.maret","gk.nonmakanan.perdesaan.2015.september","gk.nonmakanan.perdesaan.2016.maret","gk.nonmakanan.perdesaan.2016.september","gk.nonmakanan.perdesaanperkotaan.2015.maret","gk.nonmakanan.perdesaanperkotaan.2015.september","gk.nonmakanan.perdesaanperkotaan.2016.maret","gk.nonmakanan.perdesaanperkotaan.2016.september","gk.nonmakanan.perkotaan.2017.maret","gk.nonmakanan.perkotaan.2017.september","gk.nonmakanan.perkotaan.2018.maret","gk.nonmakanan.perkotaan.2018.september","gk.nonmakanan.perdesaan.2017.maret","gk.nonmakanan.perdesaan.2017.september","gk.nonmakanan.perdesaan.2018.maret","gk.nonmakanan.perdesaan.2018.september","gk.nonmakanan.perdesaanperkotaan.2017.maret","gk.nonmakanan.perdesaanperkotaan.2017.september","gk.nonmakanan.perdesaanperkotaan.2018.maret","gk.nonmakanan.perdesaanperkotaan.2018.september","gk.nonmakanan.perkotaan.2019.maret","gk.nonmakanan.perkotaan.2019.september","gk.nonmakanan.perkotaan.2020.maret","gk.nonmakanan.perkotaan.2020.september","gk.nonmakanan.perdesaan.2019.maret","gk.nonmakanan.perdesaan.2019.september","gk.nonmakanan.perdesaan.2020.maret","gk.nonmakanan.perdesaan.2020.september","gk.nonmakanan.perdesaanperkotaan.2019.maret","gk.nonmakanan.perdesaanperkotaan.2019.september","gk.nonmakanan.perdesaanperkotaan.2020.maret","gk.nonmakanan.perdesaanperkotaan.2020.september","gk.nonmakanan.perkotaan.2021.maret","gk.nonmakanan.perkotaan.2021.september","gk.nonmakanan.perkotaan.2022.maret","gk.nonmakanan.perkotaan.2022.september","gk.nonmakanan.perdesaan.2021.maret","gk.nonmakanan.perdesaan.2021.september","gk.nonmakanan.perdesaan.2022.maret","gk.nonmakanan.perdesaan.2022.september","gk.nonmakanan.perdesaanperkotaan.2021.maret","gk.nonmakanan.perdesaanperkotaan.2021.september","gk.nonmakanan.perdesaanperkotaan.2022.maret","gk.nonmakanan.perdesaanperkotaan.2022.september","gk.total.perkotaan.2013.maret","gk.total.perkotaan.2013.september","gk.total.perkotaan.2014.maret","gk.total.perkotaan.2014.september","gk.total.perdesaan.2013.maret","gk.total.perdesaan.2013.september","gk.total.perdesaan.2014.maret","gk.total.perdesaan.2014.september","gk.total.perdesaanperkotaan.2013.maret","gk.total.perdesaanperkotaan.2013.september","gk.total.perdesaanperkotaan.2014.maret","gk.total.perdesaanperkotaan.2014.september","gk.total.perkotaan.2015.maret","gk.total.perkotaan.2015.september","gk.total.perkotaan.2016.maret","gk.total.perkotaan.2016.september","gk.total.perdesaan.2015.maret","gk.total.perdesaan.2015.september","gk.total.perdesaan.2016.maret","gk.total.perdesaan.2016.september","gk.total.perdesaanperkotaan.2015.maret","gk.total.perdesaanperkotaan.2015.september","gk.total.perdesaanperkotaan.2016.maret","gk.total.perdesaanperkotaan.2016.september","gk.total.perkotaan.2017.maret","gk.total.perkotaan.2017.september","gk.total.perkotaan.2018.maret","gk.total.perkotaan.2018.september","gk.total.perdesaan.2017.maret","gk.total.perdesaan.2017.september","gk.total.perdesaan.2018.maret","gk.total.perdesaan.2018.september","gk.total.perdesaanperkotaan.2017.maret","gk.total.perdesaanperkotaan.2017.september","gk.total.perdesaanperkotaan.2018.maret","gk.total.perdesaanperkotaan.2018.september","gk.total.perkotaan.2019.maret","gk.total.perkotaan.2019.september","gk.total.perkotaan.2020.maret","gk.total.perkotaan.2020.september","gk.total.perdesaan.2019.maret","gk.total.perdesaan.2019.september","gk.total.perdesaan.2020.maret","gk.total.perdesaan.2020.september","gk.total.perdesaanperkotaan.2019.maret","gk.total.perdesaanperkotaan.2019.september","gk.total.perdesaanperkotaan.2020.maret","gk.total.perdesaanperkotaan.2020.september","gk.total.perkotaan.2021.maret","gk.total.perkotaan.2021.september","gk.total.perkotaan.2022.maret","gk.total.perkotaan.2022.september","gk.total.perdesaan.2021.maret","gk.total.perdesaan.2021.september","gk.total.perdesaan.2022.maret","gk.total.perdesaan.2022.september","gk.total.perdesaanperkotaan.2021.maret","gk.total.perdesaanperkotaan.2021.september","gk.total.perdesaanperkotaan.2022.maret","gk.total.perdesaanperkotaan.2022.september"
"ACEH",293697,302128,306243,319768,297479,306737,315697,324854,296406,305428,312801,323548,330153,347811,351777,360318,331267,346070,353915,362463,330958,346552,353291,361835,364040,377620,398026,399504,372626,387367,396615,397816,370093,384381,397032,398316,418047,426126,448528,481276,406917,414738,434104,462138,410420,418296,438658,468255,116717,118196,121727,125719,84638,87682,88288,90972,93744,96344,98155,101217,127858,132061,134561,136434,94463,96799,100825,104778,104496,107572,111335,114830,137577,140281,143425,144182,106943,110248,116270,116847,116842,120033,125093,125892,147729,151144,157867,164956,122118,126262,131658,140763,130689,134643,140570,149038,359217,374261,383186,396939,319416,337962,350204,369232,NA,NA,NA,NA,410414,420324,427970,445488,382117,394419,403985,415826,390150,401772,410956,424765,458011,479872,486338,496752,425730,442869,454740,467242,435454,454124,464626,476665,501617,517900,541451,543685,479569,497615,512886,514663,486935,504414,522125,524208,565776,577270,606394,646232,529035,541000,565762,602900,541109,552939,579228,617293
"SUMATERA UTARA",261677,273271,290096,302027,266143,284650,304942,313234,263932,279015,296832,308037,311996,321688,328225,345167,316190,322222,333843,342317,314243,321967,331105,343740,354346,366831,376919,378679,348030,367379,376656,378550,351215,367105,376790,378617,397996,409313,431588,458089,391979,399971,415301,438098,395104,404860,423760,448623,102643,106627,108312,111808,65752,67987,72806,75473,84021,87123,91324,93795,113696,117206,120138,120623,79842,84935,87743,93173,97102,101729,104865,107932,129321,139706,141299,141850,97785,103166,108061,108091,114907,123015,126114,126619,145089,147124,151633,157137,112706,114016,118883,125685,130652,132451,137244,143402,307352,330517,338234,349372,263061,292186,299145,312493,NA,NA,NA,NA,364320,379898,398408,413835,331895,352637,377748,388707,347953,366138,388156,401832,425693,438894,448363,465790,396033,407157,421586,435492,411345,423696,435970,451673,483667,506538,518218,520529,445815,470545,484717,486642,466122,490120,502904,505236,543085,556437,583221,615227,504685,513987,534184,563783,525756,537311,561004,592025
"SUMATERA BARAT",288410,301356,312154,322168,293768,313294,332415,341816,291641,308554,326993,334358,337132,339340,356907,367319,352878,354771,369087,370529,346896,348429,364235,369206,382490,402124,411369,413073,382217,401904,415694,416419,382333,402003,413832,414949,424106,431008,453326,490322,438205,444693,470942,500796,431644,438308,462910,495824,117925,121984,129369,132506,75985,77884,81375,83703,92637,95393,98148,103717,135481,136026,139235,140237,86342,86644,91162,95901,106715,107368,112319,116426,143519,149242,151198,152458,101722,108553,112136,113254,121319,127697,130483,132291,156831,161294,169253,178321,117976,121531,127489,138150,137059,141237,148030,158370,332837,360768,374968,390862,288215,321252,333511,349824,NA,NA,NA,NA,406335,423339,441523,454674,369753,391178,413790,425520,384278,403947,425141,438075,472614,475365,496142,507557,439220,441415,460249,466430,453611,455797,476554,485632,526008,551366,562567,565531,483939,510457,527830,529673,503652,529700,544315,547240,580937,592302,622579,668643,556181,566224,598431,638946,568703,579545,610940,654194
"RIAU",280361,288956,292026,301570,302422,318195,326262,333174,293851,306835,312352,321762,318174,327480,342425,350004,346208,350965,357685,358620,335922,342348,351845,355411,361135,383444,400297,401965,368149,381046,394776,396647,365515,381904,396883,398654,419858,432554,450681,486130,409818,423953,435905,468911,413593,427086,441535,475492,124441,128812,134320,137972,93237,98585,99515,100785,105361,110329,113648,115497,145074,147147,148954,149398,104373,106403,114001,119824,120571,122833,128099,131734,152604,163071,170165,170891,123242,129376,131654,132088,135097,142957,147175,147436,175412,185998,191327,200815,136989,140947,146319,154999,152344,158976,164377,173340,346796,366057,375286,386606,312591,339829,357009,374466,NA,NA,NA,NA,404802,417768,426346,439542,395659,416780,425777,433960,399212,417164,426000,437259,463248,474626,491379,499402,450581,457368,471687,478445,456493,465181,479944,487145,513739,546515,570462,572856,491391,510421,526431,528735,500612,524861,544058,546090,595270,618552,642008,686945,546807,564900,582224,623910,565937,586062,605912,648832
"JAMBI",297507,308379,319954,328157,247652,258946,270888,277173,262791,273957,284973,292122,336354,341605,358637,363152,287877,291651,312113,314945,301576,306360,326180,329934,379659,389321,409968,412391,327181,341445,349384,350313,343783,355585,368137,369835,437220,448893,478149,517739,362221,364150,380967,410425,385360,391656,411537,443292,108566,115476,118646,120458,69186,70949,71249,72563,81144,84470,86903,87525,121463,123627,129154,129210,72641,74385,86388,86819,88019,90001,100071,100501,131996,135322,139066,140106,91640,96542,104118,104441,104725,108973,115405,116085,146528,149285,157559,166816,108537,114856,122845,130842,120995,126067,134333,142658,337930,369835,379183,390931,258408,280660,291534,302162,NA,NA,NA,NA,406074,423855,438600,448615,316838,329895,342137,349735,343935,358427,371876,379647,457818,465233,487791,492364,360519,366036,398501,401765,389595,396361,426251,430435,511654,524643,549033,552498,418821,437987,453502,454754,448508,464558,483542,485920,583748,598178,635708,684555,470758,479006,503811,541267,506355,517723,545870,585950
"SUMATERA SELATAN",263734,272915,275736,283334,243702,254209,263912,270182,250850,260885,269320,275036,291341,297193,313669,314491,273134,278321,289522,291450,279284,284680,297528,298856,318325,331698,337697,338390,299598,311271,321453,323914,306087,318123,327021,328710,350163,354236,374346,400354,335549,337702,353000,368981,340567,343549,360600,379882,101603,105823,112324,116824,61880,65785,67658,69692,76055,80073,82664,86661,119191,120635,124314,126557,74386,77699,85005,87600,90775,93568,99621,101928,128381,129424,131854,132409,90188,94735,100198,100455,104445,107685,112021,112549,135276,137422,141579,148101,105866,108975,114139,124901,116888,119702,124469,133642,311606,328335,336929,346238,252497,270166,277509,285791,NA,NA,NA,NA,365336,378739,388060,400159,305581,319994,331570,339874,326905,340958,351984,361697,410532,417828,437983,441049,347520,356020,374527,379052,370059,378248,397149,400785,446706,461122,469551,470800,389786,406006,421650,424369,410532,425808,439042,441259,485439,491658,515925,548455,441415,446678,467139,493882,457455,463251,485069,513524
"BENGKULU",288387,313872,315710,335957,303059,329667,333753,335624,298505,324764,324851,335717,350441,361375,380731,388650,341275,352385,356600,356972,343868,355033,363700,366889,393835,422120,423966,426542,358509,369733,374440,377325,369211,384886,389613,392261,449159,462886,480128,508068,386776,405341,416744,437286,405468,423264,435393,457885,109102,111770,114862,122478,69112,74513,76110,91690,81523,86076,91576,101468,127360,129101,136223,142003,97067,97472,108824,117037,106779,107735,117725,125225,144674,146663,149257,150379,123409,129890,131570,132162,130449,135407,137419,138121,155110,161688,167708,178155,137716,142987,149208,162687,143466,149191,155362,167767,328972,358294,362614,378881,281468,313265,325261,346395,NA,NA,NA,NA,397489,425642,430572,458435,372171,404179,409863,427315,380028,410840,416427,437185,477801,490475,516954,530655,438342,449857,465424,474010,450647,462768,481425,492114,538508,568783,573222,576921,481918,499623,506010,509487,499660,520293,527032,530382,604269,624573,647836,686223,524492,548327,565952,599973,548934,572455,590755,625652
"LAMPUNG",260892,274255,279240,284222,251365,264450,272168,273647,253869,267028,274437,276216,302761,307473,321620,327530,285183,286434,293926,299041,289705,291600,301234,306926,335947,344994,364654,367275,304512,318866,333219,335769,313620,326364,342151,344944,375720,392074,412358,439148,347870,361365,372425,392553,356329,370907,384769,406732,109948,112473,113248,114155,74918,81638,82510,84145,84127,89744,90485,92376,117466,119599,122626,125522,86711,90615,92038,93160,95176,98583,101073,102954,127707,132077,136066,137055,94425,97828,100624,101339,104689,108311,111581,112551,140283,143059,148109,156844,103341,111553,120198,130606,115110,121713,129270,139260,310464,326468,336927,350024,265105,284504,295931,307818,NA,NA,NA,NA,370839,386728,392488,398378,326283,346088,354678,357792,337996,356772,364922,368592,420227,427072,444246,453053,371894,377049,385965,392201,384881,390183,402307,409880,463654,477071,500720,504330,398937,416694,433843,437107,418309,434675,453732,457495,516003,535133,560467,595992,451211,472918,492623,523159,471439,492620,514039,545992
"KEP. BANGKA BELITUNG",330178,362214,365938,387559,375657,406405,409399,427177,353260,384643,388454,407858,400464,421894,442588,469429,449106,464559,472431,495542,424845,441580,457834,482102,480596,504235,507398,511872,507100,541062,543077,546174,492693,521298,524371,528771,525236,538158,561881,605177,566074,576533,600254,641806,544017,555279,579537,622068,145300,154621,155835,166122,125875,136327,137599,146405,135441,145336,145776,156533,170765,173137,180347,186718,153836,158552,165869,176561,162685,166347,173633,182017,190458,200912,203236,204588,178334,184681,189493,190676,185024,193549,197084,198343,212698,215609,223107,231249,202340,214613,220289,231037,208186,215178,221901,231158,390488,416935,439377,458055,409901,436899,448817,481226,NA,NA,NA,NA,475478,516835,521773,553681,501532,542732,546998,573582,488701,529979,534230,564391,571229,595031,622935,656148,602942,623111,638300,672104,587530,607927,631467,664120,671054,705147,710634,716460,685433,725743,732570,736850,677717,714847,721455,727114,737934,753768,784988,836425,768414,791146,820543,872843,752203,770457,801438,853226
"KEP. RIAU",298998,318580,326014,334582,316511,343566,353153,366411,301870,322677,330442,339924,340729,357478,373829,376276,375168,387266,396882,405549,346267,362339,377389,379602,393859,397193,406556,408172,412190,429322,442464,444217,396007,400070,410225,410811,426912,429830,453563,486016,458274,467527,496488,525085,429298,432804,458362,491238,155149,166916,168404,171398,104127,113367,113836,115276,146782,158135,159715,162729,175688,182583,190164,194632,117473,120529,131906,137637,166969,173687,181902,188369,204035,208017,210186,211289,144058,147937,152786,153682,198052,201968,204502,206721,217689,225676,233682,247232,156472,159285,162820,172647,213127,221050,225707,239224,383332,405578,421733,431127,326819,364773,385071,399063,NA,NA,NA,NA,454147,485496,494418,505980,420638,456933,466989,481687,448652,480812,490157,502653,516418,540062,563993,570910,492642,507795,528788,543187,513236,536026,559291,567972,597894,605210,616743,619461,556248,577259,595249,597899,594059,602038,614727,617532,644601,655506,687245,733248,614746,626811,659308,697732,642425,653854,684069,730462
