"provinsi","jenis","daerah","tahun","periode","gk"
"ACEH","MAKANAN","PERKOTAAN",2015,"MARET",293697
"ACEH","MAKANAN","PERKOTAAN",2015,"SEPTEMBER",302128
"ACEH","MAKANAN","PERKOTAAN",2016,"MARET",306243
"ACEH","MAKANAN","PERKOTAAN",2016,"SEPTEMBER",319768
"ACEH","MAKANAN","PERDESAAN",2015,"MARET",297479
"ACEH","MAKANAN","PERDESAAN",2015,"SEPTEMBER",306737
"ACEH","MAKANAN","PERDESAAN",2016,"MARET",315697
"ACEH","MAKANAN","PERDESAAN",2016,"SEPTEMBER",324854
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2015,"MARET",296406
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2015,"SEPTEMBER",305428
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2016,"MARET",312801
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2016,"SEPTEMBER",323548
"ACEH","MAKANAN","PERKOTAAN",2017,"MARET",330153
"ACEH","MAKANAN","PERKOTAAN",2017,"SEPTEMBER",347811
"ACEH","MAKANAN","PERKOTAAN",2018,"MARET",351777
"ACEH","MAKANAN","PERKOTAAN",2018,"SEPTEMBER",360318
"ACEH","MAKANAN","PERDESAAN",2017,"MARET",331267
"ACEH","MAKANAN","PERDESAAN",2017,"SEPTEMBER",346070
"ACEH","MAKANAN","PERDESAAN",2018,"MARET",353915
"ACEH","MAKANAN","PERDESAAN",2018,"SEPTEMBER",362463
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2017,"MARET",330958
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2017,"SEPTEMBER",346552
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2018,"MARET",353291
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2018,"SEPTEMBER",361835
"ACEH","MAKANAN","PERKOTAAN",2019,"MARET",364040
"ACEH","MAKANAN","PERKOTAAN",2019,"SEPTEMBER",377620
"ACEH","MAKANAN","PERKOTAAN",2020,"MARET",398026
"ACEH","MAKANAN","PERKOTAAN",2020,"SEPTEMBER",399504
"ACEH","MAKANAN","PERDESAAN",2019,"MARET",372626
"ACEH","MAKANAN","PERDESAAN",2019,"SEPTEMBER",387367
"ACEH","MAKANAN","PERDESAAN",2020,"MARET",396615
"ACEH","MAKANAN","PERDESAAN",2020,"SEPTEMBER",397816
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2019,"MARET",370093
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2019,"SEPTEMBER",384381
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2020,"MARET",397032
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2020,"SEPTEMBER",398316
"ACEH","MAKANAN","PERKOTAAN",2021,"MARET",418047
"ACEH","MAKANAN","PERKOTAAN",2021,"SEPTEMBER",426126
"ACEH","MAKANAN","PERKOTAAN",2022,"MARET",448528
"ACEH","MAKANAN","PERKOTAAN",2022,"SEPTEMBER",481276
"ACEH","MAKANAN","PERDESAAN",2021,"MARET",406917
"ACEH","MAKANAN","PERDESAAN",2021,"SEPTEMBER",414738
"ACEH","MAKANAN","PERDESAAN",2022,"MARET",434104
"ACEH","MAKANAN","PERDESAAN",2022,"SEPTEMBER",462138
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2021,"MARET",410420
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2021,"SEPTEMBER",418296
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2022,"MARET",438658
"ACEH","MAKANAN","PERDESAANPERKOTAAN",2022,"SEPTEMBER",468255
"ACEH","NONMAKANAN","PERKOTAAN",2015,"MARET",116717
"ACEH","NONMAKANAN","PERKOTAAN",2015,"SEPTEMBER",118196
"ACEH","NONMAKANAN","PERKOTAAN",2016,"MARET",121727
"ACEH","NONMAKANAN","PERKOTAAN",2016,"SEPTEMBER",125719
"ACEH","NONMAKANAN","PERDESAAN",2015,"MARET",84638
"ACEH","NONMAKANAN","PERDESAAN",2015,"SEPTEMBER",87682
"ACEH","NONMAKANAN","PERDESAAN",2016,"MARET",88288
"ACEH","NONMAKANAN","PERDESAAN",2016,"SEPTEMBER",90972
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2015,"MARET",93744
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2015,"SEPTEMBER",96344
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2016,"MARET",98155
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2016,"SEPTEMBER",101217
"ACEH","NONMAKANAN","PERKOTAAN",2017,"MARET",127858
"ACEH","NONMAKANAN","PERKOTAAN",2017,"SEPTEMBER",132061
"ACEH","NONMAKANAN","PERKOTAAN",2018,"MARET",134561
"ACEH","NONMAKANAN","PERKOTAAN",2018,"SEPTEMBER",136434
"ACEH","NONMAKANAN","PERDESAAN",2017,"MARET",94463
"ACEH","NONMAKANAN","PERDESAAN",2017,"SEPTEMBER",96799
"ACEH","NONMAKANAN","PERDESAAN",2018,"MARET",100825
"ACEH","NONMAKANAN","PERDESAAN",2018,"SEPTEMBER",104778
"ACEH","NONMAKANAN","PERDESAANPERKOTAAN",2017,"MARET",104496
