"provinsi","peng.perdesaan.makanan.2007","peng.perdesaan.makanan.2008","peng.perdesaan.makanan.2009","peng.perdesaan.makanan.2010","peng.perdesaan.makanan.2011","peng.perdesaan.makanan.2012","peng.perdesaan.makanan.2013","peng.perdesaan.makanan.2014","peng.perdesaan.makanan.2015","peng.perdesaan.makanan.2016","peng.perdesaan.makanan.2017","peng.perdesaan.makanan.2018","peng.perdesaan.makanan.2019","peng.perdesaan.makanan.2020","peng.perdesaan.makanan.2021","peng.perdesaan.makanan.2022","peng.perdesaan.nonmakanan.2007","peng.perdesaan.nonmakanan.2008","peng.perdesaan.nonmakanan.2009","peng.perdesaan.nonmakanan.2010","peng.perdesaan.nonmakanan.2011","peng.perdesaan.nonmakanan.2012","peng.perdesaan.nonmakanan.2013","peng.perdesaan.nonmakanan.2014","peng.perdesaan.nonmakanan.2015","peng.perdesaan.nonmakanan.2016","peng.perdesaan.nonmakanan.2017","peng.perdesaan.nonmakanan.2018","peng.perdesaan.nonmakanan.2019","peng.perdesaan.nonmakanan.2020","peng.perdesaan.nonmakanan.2021","peng.perdesaan.nonmakanan.2022","peng.perdesaan.total.2007","peng.perdesaan.total.2008","peng.perdesaan.total.2009","peng.perdesaan.total.2010","peng.perdesaan.total.2011","peng.perdesaan.total.2012","peng.perdesaan.total.2013","peng.perdesaan.total.2014","peng.perdesaan.total.2015","peng.perdesaan.total.2016","peng.perdesaan.total.2017","peng.perdesaan.total.2018","peng.perdesaan.total.2019","peng.perdesaan.total.2020","peng.perdesaan.total.2021","peng.perdesaan.total.2022","peng.perkotaan.makanan.2007","peng.perkotaan.makanan.2008","peng.perkotaan.makanan.2009","peng.perkotaan.makanan.2010","peng.perkotaan.makanan.2011","peng.perkotaan.makanan.2012","peng.perkotaan.makanan.2013","peng.perkotaan.makanan.2014","peng.perkotaan.makanan.2015","peng.perkotaan.makanan.2016","peng.perkotaan.makanan.2017","peng.perkotaan.makanan.2018","peng.perkotaan.makanan.2019","peng.perkotaan.makanan.2020","peng.perkotaan.makanan.2021","peng.perkotaan.makanan.2022","peng.perkotaan.nonmakanan.2007","peng.perkotaan.nonmakanan.2008","peng.perkotaan.nonmakanan.2009","peng.perkotaan.nonmakanan.2010","peng.perkotaan.nonmakanan.2011","peng.perkotaan.nonmakanan.2012","peng.perkotaan.nonmakanan.2013","peng.perkotaan.nonmakanan.2014","peng.perkotaan.nonmakanan.2015","peng.perkotaan.nonmakanan.2016","peng.perkotaan.nonmakanan.2017","peng.perkotaan.nonmakanan.2018","peng.perkotaan.nonmakanan.2019","peng.perkotaan.nonmakanan.2020","peng.perkotaan.nonmakanan.2021","peng.perkotaan.nonmakanan.2022","peng.perkotaan.total.2007","peng.perkotaan.total.2008","peng.perkotaan.total.2009","peng.perkotaan.total.2010","peng.perkotaan.total.2011","peng.perkotaan.total.2012","peng.perkotaan.total.2013","peng.perkotaan.total.2014","peng.perkotaan.total.2015","peng.perkotaan.total.2016","peng.perkotaan.total.2017","peng.perkotaan.total.2018","peng.perkotaan.total.2019","peng.perkotaan.total.2020","peng.perkotaan.total.2021","peng.perkotaan.total.2022","peng.perdesaanperkotaan.makanan.2011","peng.perdesaanperkotaan.makanan.2012","peng.perdesaanperkotaan.makanan.2013","peng.perdesaanperkotaan.makanan.2014","peng.perdesaanperkotaan.makanan.2015","peng.perdesaanperkotaan.makanan.2016","peng.perdesaanperkotaan.makanan.2017","peng.perdesaanperkotaan.makanan.2018","peng.perdesaanperkotaan.makanan.2019","peng.perdesaanperkotaan.makanan.2020","peng.perdesaanperkotaan.makanan.2021","peng.perdesaanperkotaan.makanan.2022","peng.perdesaanperkotaan.nonmakanan.2011","peng.perdesaanperkotaan.nonmakanan.2012","peng.perdesaanperkotaan.nonmakanan.2013","peng.perdesaanperkotaan.nonmakanan.2014","peng.perdesaanperkotaan.nonmakanan.2015","peng.perdesaanperkotaan.nonmakanan.2016","peng.perdesaanperkotaan.nonmakanan.2017","peng.perdesaanperkotaan.nonmakanan.2018","peng.perdesaanperkotaan.nonmakanan.2019","peng.perdesaanperkotaan.nonmakanan.2020","peng.perdesaanperkotaan.nonmakanan.2021","peng.perdesaanperkotaan.nonmakanan.2022","peng.perdesaanperkotaan.total.2011","peng.perdesaanperkotaan.total.2012","peng.perdesaanperkotaan.total.2013","peng.perdesaanperkotaan.total.2014","peng.perdesaanperkotaan.total.2015","peng.perdesaanperkotaan.total.2016","peng.perdesaanperkotaan.total.2017","peng.perdesaanperkotaan.total.2018","peng.perdesaanperkotaan.total.2019","peng.perdesaanperkotaan.total.2020","peng.perdesaanperkotaan.total.2021","peng.perdesaanperkotaan.total.2022"
"ACEH",195176,218781,247427,275749,308000,326182,337761,368080,395136,412251,494150,506656,520759,566947,597940,633566,101285,112507,121818,139779,166699,166064,171013,195503,260183,272829,287004,331248,334915,378673,378673,406040,296461,331288,369245,415528,474699,492246,508774,563583,655319,685080,781155,837905,855674,945621,976613,1039606,226639,258233,315245,341142,383579,432567,458451,505525,466355,548853,610732,637432,639421,655222,734401,736172,210374,249377,256204,307607,373271,385949,470393,470402,529945,559492,576134,633864,640399,704431,724090,716409,437013,507609,571449,648749,756850,818516,928844,975927,996300,1108346,1186867,1271297,1279820,1359653,1458492,1452581,329257,356132,371838,406835,415354,451952,529161,547668,559299,595634,643591,668480,224798,227968,255543,273015,336764,356142,373833,426149,434133,484536,494227,511651,554055,584100,627381,679850,752118,808094,902994,973817,993433,1080171,1137819,1180132
"SUMATERA UTARA",171299,198301,219171,248859,308555,340053,363252,382056,413087,450979,490603,519512,533737,544441,579669,631364,110453,119975,127622,150408,185619,194661,207533,222017,269407,287255,278114,337487,369051,390593,383019,404273,281752,318276,346793,399267,494174,534713,570785,604073,682494,738234,768718,857000,902788,935035,962689,1035638,207606,227521,257661,288594,324392,349032,363478,416319,416073,493141,553690,586199,612136,643456,630458,689463,225606,250148,274781,328487,312932,316579,380777,381027,453609,474404,491793,544628,587371,639799,657135,668871,433212,477669,532442,617081,637325,665611,744255,797346,869682,967546,1045483,1130828,1199507,1283255,1287593,1358335,316343,344467,363363,398932,414566,472220,522766,554754,576322,598244,607811,663926,248222,254593,292770,300335,360624,381537,387051,446955,487640,526007,534905,552569,564565,599060,656133,699267,775189,853756,909817,1001709,1063963,1124252,1142716,1216496
"SUMATERA BARAT",192079,212391,238274,280748,325893,370535,402070,423217,447944,505042,544680,558783,561206,597149,619721,677060,118393,131257,150515,178601,216984,210653,223409,252800,319143,334953,359478,416100,419508,445718,468281,477638,310472,343647,388789,459349,542877,581188,625479,676017,767087,839995,904159,974885,980714,1042868,1088003,1154698,252168,263491,299590,344099,409639,423032,447972,521275,509609,583696,639600,663365,663548,698667,718095,756882,256064,250303,285526,326710,384824,416834,519086,506440,578890,610624,625397,705784,709405,753188,764266,781204,508232,513794,585115,670809,794462,839867,967058,1027715,1088499,1194320,1264997,1369150,1372954,1451855,1482361,1538087,358338,390870,419853,461404,472428,537236,584045,604871,609257,644852,668029,716261,282009,290521,337956,351576,422275,447789,469758,543759,555620,590197,613628,626723,640348,681391,757809,812980,894703,985025,1053803,1148630,1164878,1235050,1281658,1342985
"RIAU",217296,237941,263543,276157,360996,372308,418560,432629,472756,529182,577172,569382,581820,616148,643925,687965,172328,187452,226950,199219,282024,307100,297984,304855,413929,415428,422216,482077,483155,511937,538482,564974,389624,425393,490493,475376,643019,679408,716544,737484,886685,944611,999389,1051459,1064975,1128085,1182408,1252939,266597,285064,328636,356537,424696,525993,546166,558444,530836,599303,643136,644937,680685,744846,714406,794813,326635,328559,329662,362172,503248,554568,587504,632006,661673,701840,661941,744298,800946,909577,868308,887487,593232,613623,658298,718709,927943,1080560,1133670,1190450,1192509,1301143,1305078,1389236,1481632,1654423,1582714,1682300,385949,432511,468503,481965,495322,556747,603401,599873,621747,668073,672142,730825,368685,404040,411298,433141,510187,528018,517536,587899,611497,672372,670527,694345,754634,836550,879801,915106,1005509,1084765,1120937,1187772,1233245,1340446,1342670,1425170
"JAMBI",179472,200524,214071,259432,312286,319040,361209,374885,412871,437980,504542,523147,525933,565807,584662,639512,134530,150187,142718,173699,221718,235763,240070,266543,349329,357591,334210,424329,423707,441837,475304,501511,314002,350711,356789,433131,534004,554802,601279,641428,762199,795572,838753,947478,949641,1007645,1059967,1141024,224889,209364,243003,287309,351105,376633,413120,469248,464204,523615,611922,625663,632452,640957,673352,710704,254446,234962,239804,279662,354921,401337,452634,433134,556527,624606,641117,649402,684518,733847,753362,796193,479335,444326,482807,566971,706026,777970,865754,902382,1020732,1148221,1253039,1275066,1316970,1374805,1426715,1506898,324197,336737,377133,403659,428457,464381,538359,555989,560541,590173,613752,663020,262589,286641,305275,317342,412239,439908,430864,496432,508445,536516,566506,598816,586786,623378,682409,721001,840696,904289,969224,1052421,1068986,1126689,1180259,1261836
"SUMATERA SELATAN",163629,186102,204521,242246,286999,288099,322412,340487,358391,408161,465251,464444,476355,505671,559309,587945,121797,130608,125118,146191,188468,203150,206381,228711,260923,293544,317870,365368,371452,397041,425439,432887,285425,316710,329639,388436,475468,491249,528792,569198,619314,701705,783122,829813,847808,902712,984749,1020833,199431,216856,248475,284268,324594,343788,408355,480765,418794,513874,581213,568797,536802,584583,611880,674968,200374,215115,243277,272873,273395,445946,440030,538378,514708,569719,589322,637747,608271,637679,670505,685547,399804,431971,491752,557141,597989,789734,848385,1019143,933502,1083593,1170536,1206544,1145073,1222262,1282386,1360515,300453,308027,353213,390807,379945,446364,507672,503297,498928,535136,579031,620732,218859,290035,290119,339793,351483,393348,417173,466781,459889,486893,517375,528080,519312,598062,643332,730600,731429,839712,924846,970078,958818,1022030,1096407,1148812
"BENGKULU",153883,185289,195910,239474,281806,324297,340017,371323,403723,422178,512495,524132,509743,542088,548491,595345,96633,141507,143146,170182,192382,176857,216305,237149,326656,332335,350740,435647,425301,423330,428537,457934,250516,326796,339057,409656,474188,501154,556323,608472,730379,754513,863236,959780,935045,965419,977029,1053280,193165,200057,220732,299906,324352,343106,366328,412372,434462,501705,546294,599850,608544,636828,644543,688085,236294,231314,227323,303222,338855,365968,507034,507762,555949,695404,715282,812762,814178,855378,820709,795497,429458,431371,448055,603128,663207,709074,873362,920134,990410,1197110,1261577,1412613,1422722,1492206,1465253,1483583,294975,330123,348161,384146,413263,447384,523328,548879,542423,573499,580273,626208,237717,235436,306290,321685,397815,447410,467579,558899,553926,566575,558299,570274,532692,565559,654451,705831,811077,894794,990908,1107778,1096349,1140074,1138572,1196483
"LAMPUNG",143511,159979,166439,200913,246226,265042,283011,312269,359111,383391,433581,444007,446555,466590,501084,542452,105338,113552,127833,146368,186338,184294,197109,222272,294748,311439,309728,371716,365841,393202,395456,414416,248849,273531,294271,347281,432564,449336,480120,534541,653859,694830,743310,815724,812396,859792,896541,956868,217916,209458,228316,271181,305734,338261,405210,422069,447587,491261,558327,560502,570592,587511,622926,644379,329527,288214,275503,314309,351031,376967,438876,473544,538560,551369,569779,616817,620054,643043,693670,674903,547443,497672,503819,585489,656766,715229,844087,895613,986147,1042631,1128106,1177319,1190647,1230554,1316597,1319283,261519,283870,314408,340844,382368,412617,467939,478451,484799,503976,539963,575672,228662,233840,259226,287666,358838,376444,381353,444185,444224,470447,490615,499314,490180,517710,573634,628510,741206,789061,849293,922637,929024,974423,1030578,1074987
"KEP. BANGKA BELITUNG",248396,277071,290870,328440,389470,395069,433710,515064,551553,558613,651144,655645,682642,720007,726610,848494,215562,218532,239364,239766,307953,333414,364192,413004,467700,505734,469208,559284,603651,578492,606125,637672,463958,495602,530235,568206,697423,728484,797902,928068,1019252,1064347,1120353,1214929,1286293,1298500,1332735,1486167,263406,284162,303406,380298,393810,442601,550081,590025,606905,633225,784861,757618,807682,812631,826951,906502,217734,264755,311126,383751,383301,468917,535297,581117,613072,722576,795826,838278,883969,854352,859389,874034,481141,548917,614532,764049,777111,911518,1085378,1171142,1219977,1355801,1580688,1595898,1691651,1666984,1686340,1780536,391606,418496,491121,551960,578812,596381,721045,710401,751640,771121,783203,881622,345039,400200,448605,495751,539290,615498,639949,709094,758333,730722,748970,772658,736645,818697,939726,1047711,1118101,1211879,1360994,1419495,1509974,1501843,1532174,1654280
"KEP. RIAU",216349,244200,303902,341117,400218,416780,437634,480788,480875,502046,562677,590286,610033,623234,645900,672520,177560,179011,194304,210170,276481,316831,316199,345570,404211,464081,442556,496566,499045,520509,518795,515616,393909,423212,498205,551287,676699,733610,753834,826358,885086,966127,1005233,1086852,1109078,1143743,1164695,1188137,267165,301036,330344,388302,437751,481921,524552,592970,625859,714538,794255,774057,809149,819974,842908,868121,358745,381144,375648,410110,514845,572809,653772,764558,809066,842368,869299,881087,1044092,1023031,1068082,1044718,625910,682181,705993,798412,952596,1054730,1178323,1357528,1434924,1556906,1663555,1655145,1853241,1843005,1910991,1912840,431248,470371,508569,574814,602071,681525,759543,747943,789056,800424,828206,846221,473543,527422,591696,696748,742641,783597,805333,826447,989093,973096,1027089,985478,904790,997793,1100265,1271562,1344712,1465121,1564877,1574391,1778150,1773521,1855295,1831700
