"provinsi","tahun","ump"
"ACEH",2002,330000
"ACEH",2003,425000
"ACEH",2004,550000
"ACEH",2005,620000
"ACEH",2006,820000
"ACEH",2007,850000
"ACEH",2008,1000000
"ACEH",2009,1200000
"ACEH",2010,1300000
"ACEH",2011,1350000
"ACEH",2012,1400000
"ACEH",2013,1550000
"ACEH",2014,1750000
"ACEH",2015,1900000
"ACEH",2016,2118500
"ACEH",2017,2500000
"ACEH",2018,2700000
"ACEH",2019,2916810
"ACEH",2020,3165031
"ACEH",2021,3165031
"ACEH",2022,3166460
"SUMATERA UTARA",2002,464000
"SUMATERA UTARA",2003,505000
"SUMATERA UTARA",2004,537000
"SUMATERA UTARA",2005,600000
"SUMATERA UTARA",2006,737794
"SUMATERA UTARA",2007,761000
"SUMATERA UTARA",2008,822205
"SUMATERA UTARA",2009,905000
"SUMATERA UTARA",2010,965000
"SUMATERA UTARA",2011,1035500
"SUMATERA UTARA",2012,1200000
"SUMATERA UTARA",2013,1375000
"SUMATERA UTARA",2014,1505850
"SUMATERA UTARA",2015,1625000
"SUMATERA UTARA",2016,1811875
"SUMATERA UTARA",2017,1961354
"SUMATERA UTARA",2018,2132189
"SUMATERA UTARA",2019,2303403
"SUMATERA UTARA",2020,2499423
"SUMATERA UTARA",2021,2499423
"SUMATERA UTARA",2022,2522610
"SUMATERA BARAT",2002,385000
"SUMATERA BARAT",2003,435000
"SUMATERA BARAT",2004,480000
"SUMATERA BARAT",2005,540000
"SUMATERA BARAT",2006,650000
"SUMATERA BARAT",2007,725000
"SUMATERA BARAT",2008,800000
"SUMATERA BARAT",2009,880000
"SUMATERA BARAT",2010,940000
"SUMATERA BARAT",2011,1055000
"SUMATERA BARAT",2012,1150000
"SUMATERA BARAT",2013,1350000
"SUMATERA BARAT",2014,1490000
"SUMATERA BARAT",2015,1615000
"SUMATERA BARAT",2016,1800725
"SUMATERA BARAT",2017,1949284
"SUMATERA BARAT",2018,2119067
"SUMATERA BARAT",2019,2289220
"SUMATERA BARAT",2020,2484041
"SUMATERA BARAT",2021,2484041
"SUMATERA BARAT",2022,2512539
"RIAU",2002,394000
"RIAU",2003,437500
"RIAU",2004,476900
"RIAU",2005,551500
"RIAU",2006,637000
"RIAU",2007,710000
"RIAU",2008,800000
"RIAU",2009,901600
"RIAU",2010,1016000
"RIAU",2011,1120000
"RIAU",2012,1238000
"RIAU",2013,1400000
"RIAU",2014,1700000
"RIAU",2015,1878000
"RIAU",2016,2095000
"RIAU",2017,2266722
"RIAU",2018,2464154
"RIAU",2019,2662026
"RIAU",2020,2888564
"RIAU",2021,2888564
"RIAU",2022,2938564
"JAMBI",2002,304000
"JAMBI",2003,390000
"JAMBI",2004,425000
"JAMBI",2005,485000
"JAMBI",2006,563000
"JAMBI",2007,658000
"JAMBI",2008,724000
"JAMBI",2009,800000
"JAMBI",2010,900000
"JAMBI",2011,1028000
"JAMBI",2012,1142500
"JAMBI",2013,1300000
"JAMBI",2014,1502300
"JAMBI",2015,1710000
"JAMBI",2016,1906650
"JAMBI",2017,2063000
"JAMBI",2018,2243719
"JAMBI",2019,2423889
"JAMBI",2020,2630162
"JAMBI",2021,2788826
"JAMBI",2022,2698941
"SUMATERA SELATAN",2002,331500
"SUMATERA SELATAN",2003,403500
"SUMATERA SELATAN",2004,460000
"SUMATERA SELATAN",2005,503700
"SUMATERA SELATAN",2006,604000
"SUMATERA SELATAN",2007,662000
"SUMATERA SELATAN",2008,743000
"SUMATERA SELATAN",2009,824730
"SUMATERA SELATAN",2010,927825
"SUMATERA SELATAN",2011,1048440
"SUMATERA SELATAN",2012,1195220
"SUMATERA SELATAN",2013,1630000
"SUMATERA SELATAN",2014,1825000
"SUMATERA SELATAN",2015,1974346
"SUMATERA SELATAN",2016,2206000
"SUMATERA SELATAN",2017,2388000
"SUMATERA SELATAN",2018,2595995
"SUMATERA SELATAN",2019,2804453
"SUMATERA SELATAN",2020,3043111
"SUMATERA SELATAN",2021,3043111
"SUMATERA SELATAN",2022,3144446
"BENGKULU",2002,295000
"BENGKULU",2003,330000
"BENGKULU",2004,363000
"BENGKULU",2005,430000
"BENGKULU",2006,516000
"BENGKULU",2007,644838
"BENGKULU",2008,690000
"BENGKULU",2009,735000
"BENGKULU",2010,780000
"BENGKULU",2011,815000
"BENGKULU",2012,930000
"BENGKULU",2013,1200000
"BENGKULU",2014,1350000
"BENGKULU",2015,1500000
"BENGKULU",2016,1605000
"BENGKULU",2017,1737412
"BENGKULU",2018,1888741
"BENGKULU",2019,2040407
"BENGKULU",2020,2213604
"BENGKULU",2021,2460996
"BENGKULU",2022,2238094
"LAMPUNG",2002,310000
"LAMPUNG",2003,350000
"LAMPUNG",2004,377500
"LAMPUNG",2005,405000
"LAMPUNG",2006,505000
"LAMPUNG",2007,555000
"LAMPUNG",2008,617000
"LAMPUNG",2009,691000
"LAMPUNG",2010,767500
"LAMPUNG",2011,855000
"LAMPUNG",2012,975000
"LAMPUNG",2013,1150000
"LAMPUNG",2014,1399037
"LAMPUNG",2015,1581000
"LAMPUNG",2016,1763000
"LAMPUNG",2017,1908447
"LAMPUNG",2018,2074673
"LAMPUNG",2019,2241270
"LAMPUNG",2020,2432002
"LAMPUNG",2021,2432001
"LAMPUNG",2022,2440486
"KEP. BANGKA BELITUNG",2002,345000
"KEP. BANGKA BELITUNG",2003,379500
"KEP. BANGKA BELITUNG",2004,447900
"KEP. BANGKA BELITUNG",2005,560000
"KEP. BANGKA BELITUNG",2006,640000
"KEP. BANGKA BELITUNG",2007,720000
"KEP. BANGKA BELITUNG",2008,813000
"KEP. BANGKA BELITUNG",2009,850000
"KEP. BANGKA BELITUNG",2010,910000
"KEP. BANGKA BELITUNG",2011,1024000
"KEP. BANGKA BELITUNG",2012,1110000
"KEP. BANGKA BELITUNG",2013,1265000
"KEP. BANGKA BELITUNG",2014,1640000
"KEP. BANGKA BELITUNG",2015,2100000
"KEP. BANGKA BELITUNG",2016,2341500
"KEP. BANGKA BELITUNG",2017,2538673
"KEP. BANGKA BELITUNG",2018,2755444
"KEP. BANGKA BELITUNG",2019,2976706
"KEP. BANGKA BELITUNG",2020,3230024
